state,value
Alabama,587
Arizona,665
Arkansas,381
California,4657
Colorado,1433
Connecticut,1291
Delaware,163
Florida,2900
Georgia,2000
Idaho,205
Illinois,3024
Indiana,979
Iowa,235
Kansas,206
Kentucky,301
Louisiana,2744
Maine,168
Maryland,775
Massachusetts,3240
Michigan,3634
Minnesota,396
Mississippi,579
Missouri,666
Montana,109
Nebraska,82
Nevada,536
New Hampshire,158
New Jersey,8825
New Mexico,136
New York,44876
North Carolina,887
North Dakota,68
Ohio,1137
Oklahoma,322
Oregon,416
Pennsylvania,2345
Rhode Island,203
South Carolina,542
South Dakota,58
Tennessee,1318
Texas,1937
Utah,472
Vermont,184
Virginia,607
Washington,3477
West Virginia,76
Wisconsin,926
Wyoming,70
